	RE-1-+	RS-1-+	RX-1-+	RT-1-+
Open Space\Active Recreation	P	P	P	P
Open Space\Passive Recreation	P	P	P	P
Open Space\Natural Resources Preservation	P	P	P	P
Open Space\Park Maintenance Facilities	-	-	-	-
Agriculture\Agricultural Processing	-	-	-	-
Agriculture\Aquaculture Facilities	-	-	-	-
Agriculture\Dairies	-	-	-	-
Agriculture\Horticulture Nurseries & Greenhouses	-	-	-	-
Agriculture\Raising & Harvesting of Crops	P(3)	-	-	-
Agriculture\Raising, Maintaining & Keeping of Animals	P(3)(8)	-	-	-
Separately Regulated Agriculture Uses\Agricultural Equipment Repair Shops	-	-	-	-
Separately Regulated Agriculture Uses\Commercial Stables	-	-	-	-
Separately Regulated Agriculture Uses\Community Gardens	L	L	L	L
Separately Regulated Agriculture Uses\Equestrian Show & Exhibition Facilities	-	-	-	-
Separately Regulated Agriculture Uses\Open Air Markets for the Sale of Agriculture-Related Products & Flowers	-	-	-	-
Residential\Mobilehome Parks	-	P(1)	P(1)	-
Residential\Multiple Dwelling Units	-	-	-	-
Residential\Rooming House [See Section 131.0112(a)(3)(A)]	-	-	-	-
Residential\Shopkeeper Units	-	-	-	-
Residential\Single Dwelling Units	P	P(9)	P(9)	P(9)
Separately Regulated Residential Uses\Boarder & Lodger Accommodations	L	L	L	L
Separately Regulated Residential Uses\Companion Units	L	L	L	L
Separately Regulated Residential Uses\Continuing Care Retirement Communities	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 6 or Fewer Employees	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: 12 or Fewer Employees	-	-	-	-
Separately Regulated Residential Uses\Employee Housing: Greater than 12 Employees	-	-	-	-
Separately Regulated Residential Uses\Fraternities, Sororities and Student Dormitories	-	-	-	-
Separately Regulated Residential Uses\Garage, Yard, & Estate Sales	L	L	L	L
Separately Regulated Residential Uses\Guest Quarters	L	L	L	-
Separately Regulated Residential Uses\Home Occupations	L	L	L	L
Separately Regulated Residential Uses\Interim Ground Floor Residential	-	-	-	-
Separately Regulated Residential Uses\Junior Units	L	L	L	L
Separately Regulated Residential Uses\Live/Work Quarters	-	-	-	-
Separately Regulated Residential Uses\Permanent Supportive Housing	-	-	-	-
Separately Regulated Residential Uses\Residential Care Facilities: 6 or Fewer Persons	P	P	P	P
Separately Regulated Residential Uses\Residential Care Facilities: 7 or More Persons	C	C	C	C
Separately Regulated Residential Uses\Transitional Housing: 6 or Fewer Persons	P	P	P	P
Separately Regulated Residential Uses\Transitional Housing: 7 or More Persons	C	C	C	C
Separately Regulated Residential Uses\Watchkeeper Quarters	-	-	-	-
Separately Regulated Institutional Uses\Airports	-	-	-	-
Separately Regulated Institutional Uses\Botanical Gardens & Arboretums	C	C	C	C
Separately Regulated Institutional Uses\Cemeteries, Mausoleums, Crematories	-	-	-	-
Separately Regulated Institutional Uses\Correctional Placement Centers	-	-	-	-
Separately Regulated Institutional Uses\Educational Facilities: Kindergarten through Grade 12	C	C	C	C
Separately Regulated Institutional Uses\Educational Facilities: Colleges / Universities	C	C	C	C
Separately Regulated Institutional Uses\Educational Facilities: Vocational / Trade School	-	-	-	-
